id_transaksi,waktu,Nama_Produk,kategori,type,nominal
TRX-5d8e7ffc3c06,2024-01-01 09:56:19,Jeruk Es,Minuman & Bahan Minuman,pemasukan,13700
TRX-dcdbe847e506,2024-01-01 09:56:19,Vitamin,Kesehatan,pengeluaran,21735
TRX-3b3259fa9566,2024-01-01 09:56:19,Kopi,Minuman & Bahan Minuman,pengeluaran,6037
TRX-5dc608a3ac7f,2024-01-01 09:56:19,Beras,Makanan & Bahan Makanan,pengeluaran,13384
TRX-07e32ed72946,2024-01-01 09:56:19,Pulpen,ATK/Administrasi,pengeluaran,2464
TRX-6e92ba510ac4,2024-01-01 09:56:19,Daging Ayam,Makanan & Bahan Makanan,pengeluaran,14174
TRX-336b6a1df451,2024-01-01 09:56:19,Es Teh,Minuman & Bahan Minuman,pemasukan,6770
TRX-62ce78b16f12,2024-01-01 09:56:19,Bakso,Makanan & Bahan Makanan,pemasukan,27785
TRX-81659fb64453,2024-01-01 09:56:19,Daging Ayam,Makanan & Bahan Makanan,pengeluaran,12943
TRX-799df73b6397,2024-01-01 09:56:19,Gas LPG,Makanan & Bahan Makanan,pengeluaran,32478
TRX-06b4ccccde92,2024-01-01 09:56:19,Bakso,Makanan & Bahan Makanan,pemasukan,30078
TRX-cbeeb04b7cb7,2024-01-01 09:56:19,Tinta Printer,ATK/Administrasi,pengeluaran,5829
TRX-646c87991c0d,2024-01-01 09:56:19,Soto Ayam,Makanan & Bahan Makanan,pemasukan,23744
TRX-5f31402e8912,2024-01-01 09:56:19,Bakso,Makanan & Bahan Makanan,pemasukan,27572
TRX-d359694db558,2024-01-01 09:56:19,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,22613
TRX-6ec5f29f308c,2024-01-01 09:56:19,Tinta Printer,ATK/Administrasi,pengeluaran,11322
TRX-7071f4541908,2024-01-01 09:56:19,Es Teh,Minuman & Bahan Minuman,pemasukan,8826
TRX-562da5ac7a2a,2024-01-01 09:56:19,Kertas Nota,ATK/Administrasi,pengeluaran,6685
TRX-e25925373a81,2024-01-01 09:56:19,Kopi Susu,Minuman & Bahan Minuman,pemasukan,23622
TRX-382129c19d8a,2024-01-01 09:56:19,Matcha Latte,Minuman & Bahan Minuman,pemasukan,29870
TRX-1d5eaca1d26a,2024-01-01 09:56:19,Kertas Nota,Makanan & Bahan Makanan,pengeluaran,11290
TRX-425747186865,2024-01-01 09:56:19,Bakso,Makanan & Bahan Makanan,pemasukan,31356
TRX-dae218ba4345,2024-01-01 09:56:19,Soto Ayam,Makanan & Bahan Makanan,pemasukan,29386
TRX-8e0fc192c16d,2024-01-01 09:56:19,Es Teh,Minuman & Bahan Minuman,pemasukan,6581
TRX-be2922df261b,2024-01-01 09:56:19,Jeruk Es,Minuman & Bahan Minuman,pemasukan,14492
TRX-2d405c93edd5,2024-01-01 09:56:19,Pulpen,ATK/Administrasi,pengeluaran,2552
TRX-3a4a559b46b0,2024-01-01 09:56:19,Cup Plastik,Minuman & Bahan Minuman,pengeluaran,16943
TRX-756990818c30,2024-01-01 09:56:19,Soto Ayam,Makanan & Bahan Makanan,pemasukan,24285
TRX-c2dff0b44e63,2024-01-01 09:56:19,Pulpen,ATK/Administrasi,pengeluaran,3272
TRX-05c7d25a917d,2024-01-01 09:56:19,Cup Plastik,Minuman & Bahan Minuman,pengeluaran,14409
TRX-66af3137cdfe,2024-01-02 00:10:14,Matcha Latte,Minuman & Bahan Minuman,pemasukan,23520
TRX-4606a0d94a96,2024-01-02 03:48:36,Masker,Makanan & Bahan Makanan,pengeluaran,2097
TRX-56a8bc73a6cb,2024-01-02 06:07:28,Vitamin,Kesehatan,pengeluaran,21532
TRX-ce23f79baf49,2024-01-02 06:44:43,Tinta Printer,ATK/Administrasi,pengeluaran,5322
TRX-bce309c0a22b,2024-01-02 08:03:41,Jeruk Es,Minuman & Bahan Minuman,pemasukan,14912
TRX-2e8afc1ff646,2024-01-02 18:33:29,Kopi,Minuman & Bahan Minuman,pengeluaran,5548
TRX-182acb89e2e4,2024-01-02 18:58:42,Gas LPG,Makanan & Bahan Makanan,pengeluaran,20648
TRX-f0335c316b9c,2024-01-02 19:24:35,Matcha Latte,Minuman & Bahan Minuman,pemasukan,22743
TRX-521346a696ba,2024-01-03 00:02:44,Cabai,Makanan & Bahan Makanan,pengeluaran,17345
TRX-8c0583136c7f,2024-01-03 00:09:53,Jeruk Es,Minuman & Bahan Minuman,pemasukan,14917
TRX-3b8ef9d774d7,2024-01-03 05:31:46,Vitamin,Kesehatan,pengeluaran,12511
TRX-1c374be2b354,2024-01-03 05:49:13,Teh,Minuman & Bahan Minuman,pengeluaran,3405
TRX-2f1d01344f87,2024-01-03 08:05:26,Cup Plastik,Minuman & Bahan Minuman,pengeluaran,10594
TRX-adc0aa79711e,2024-01-03 15:05:30,Es Teh,Minuman & Bahan Minuman,pemasukan,6600
TRX-282d7fc3b7be,2024-01-03 22:16:20,Jeruk Es,Minuman & Bahan Minuman,pemasukan,13336
TRX-c2f45f41cceb,2024-01-03 22:42:28,Kopi Susu,Minuman & Bahan Minuman,pemasukan,25716
TRX-49be062d29c6,2024-01-04 01:54:07,Nasi Goreng,Makanan & Bahan Makanan,pemasukan,30581
TRX-e182ba35ca9b,2024-01-04 05:19:27,Jeruk Es,Minuman & Bahan Minuman,pemasukan,10980
TRX-f151491734e8,2024-01-04 08:20:55,Matcha Latte,Minuman & Bahan Minuman,pemasukan,22460
TRX-e3e682da9de5,2024-01-04 09:06:25,Kertas Nota,ATK/Administrasi,pengeluaran,8636
TRX-a7983b17e9c9,2024-01-04 10:13:39,Bakso,Makanan & Bahan Makanan,pemasukan,27462
TRX-d36d2ee95197,2024-01-04 11:00:26,Jeruk Es,Minuman & Bahan Minuman,pemasukan,14866
